text,major_label,sub_label
"flat white coffee","Food","Coffee"
"cappuccino large","Food","Coffee"
"latte takeaway","Food","Coffee"
"chicken sandwich","Food","Fast Food"
"burger combo meal","Food","Fast Food"
"sushi lunch box","Food","Restaurant"
"uber trip city","Transport","Rideshare"
"uber trip airport","Transport","Rideshare"
"train fare opal","Transport","Train"
"metro platform ticket","Transport","Train"
"fuel unleaded","Bills","BP"
"bp calingford","Bills","BP"
"BP Calingford","Bills","BP"
"bp dural","Bills","BP"
"BP Dural","Bills","BP"
"whole milk 2l","Groceries","Dairy"
"sourdough bread","Groceries","Bakery"
"fresh apples","Groceries","Produce"
"movie ticket","Entertainment","Cinema"
"cinema popcorn combo","Entertainment","Cinema"
"streaming subscription","Entertainment","Streaming"
"pharmacy vitamins","Health","Pharmacy"
"chemist cough syrup","Health","Pharmacy"
"dentist visit","Health","Dental"
"running shoes","Shopping","Apparel"
"gift store purchase","Shopping","Gift"
"electricity bill","Bills","Utilities"
"power bill payment","Bills","Utilities"
"mobile recharge","Bills","Mobile"
"phone top up","Bills","Mobile"
"course workbook","Education","Supplies"
"school class fee","Education","Fees"
"haircut service","Personal Care","Hair"
"body wash","Personal Care","Toiletries"
"dishwashing liquid","Home","Cleaning"
"kitchen storage box","Home","Storage"
"car service labour","Car service","Labour"
"wheel alignment","Car service","Maintenance"
"misc receipt item","Other","General"
"unknown merchant fee","Other","General"
